Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Product Name,Description P/N,Sim.Device,Sim.Pins,Purpose,Replacement
"C1, C10, C11, C12, C21, C22, C27, C3, C31, C36, C4, C44, C5, C6, C7, C74, C75",17,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
"C13, C9",2,30p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
"C14, C15, C48, C50, C53, C55, C58, C60",8,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
"C16, C17, C20, C28, C29, C30, C34, C35, C38, C46, C49, C52, C57, C8",14,56p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
"C18, C19, C2, C39, C40, C41, C42, C43, C72",9,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
"C23, C32, C37, C45",4,0.27u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
"C24, C71",2,22u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,,,,smt,16V,,,,,,
"C25, C69",2,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,,,,smt,50V,,,,,,
"C26, C70",2,330u,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,,,,smt,"Polarized capacitor, small symbol",CA45-C6R3K337T,,,,,
"C33, C66",2,22u,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,,,,smt,"Polarized capacitor, small symbol",CA45L-E050K226TE400,,,,,
"C47, C51, C54, C56, C59, C61",6,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
C62,1,1u,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,,,,smt,Polarized capacitor,293D105X9050C2TE3,,,,,
C63,1,10u,CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder,,,,smt,Polarized capacitor,293D106X9050E2TE3,,,,,
C64,1,100u,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,,,,smt,Polarized capacitor,293D107X96R3B2TE3,,,,,
C65,1,10u,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,,,,smt,Polarized capacitor,293D106X96R3B2TE3,,,,,
C67,1,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
C68,1,47n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,,,,
