pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
304.165,-213.36,0.0,bottom,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
313.055,-221.615,90.0,bottom,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
307.975,-221.615,90.0,bottom,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
316.865,-218.44,180.0,bottom,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
313.055,-227.965,-90.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30p,smt
315.595,-208.915,-90.0,bottom,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
307.975,-208.915,-90.0,bottom,C15,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
297.18,-205.74,90.0,top,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
287.02,-205.74,90.0,top,C17,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
299.72,-201.295,90.0,top,C18,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
297.18,-201.295,90.0,top,C19,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
315.595,-221.615,90.0,bottom,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
287.02,-196.85,90.0,top,C20,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
373.38,-229.87,90.0,bottom,C21,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
397.51,-223.52,90.0,bottom,C22,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
396.875,-232.41,-90.0,top,C23,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.27u,smt
250.698,-220.98,-90.0,top,C24,,,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,22u,smt
229.743,-220.98,90.0,top,C25,,,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,10u,smt
246.253,-220.98,-90.0,top,C26,,,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,330u,smt
376.555,-229.87,-90.0,top,C27,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
367.665,-229.87,90.0,top,C28,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
394.335,-223.52,-90.0,top,C29,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
316.865,-215.9,180.0,bottom,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
416.56,-223.52,90.0,top,C30,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
413.385,-223.52,90.0,bottom,C31,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
412.75,-232.41,-90.0,top,C32,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.27u,smt
225.298,-220.98,-90.0,top,C33,,,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,22u,smt
410.21,-223.52,-90.0,top,C34,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
432.435,-223.52,90.0,top,C35,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
429.26,-223.52,90.0,bottom,C36,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
428.625,-232.41,-90.0,top,C37,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.27u,smt
426.085,-223.52,-90.0,top,C38,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
278.13,-188.595,180.0,top,C39,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
305.435,-208.915,-90.0,bottom,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
308.61,-188.595,180.0,top,C40,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
339.09,-188.595,180.0,top,C41,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
369.57,-188.595,180.0,top,C42,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
247.65,-188.595,180.0,top,C43,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt
252.73,-198.755,-90.0,bottom,C44,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
260.35,-200.66,-90.0,top,C45,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.27u,smt
248.92,-198.755,-90.0,top,C46,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
405.13,-195.58,180.0,bottom,C47,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1u,smt
405.13,-193.04,0.0,bottom,C48,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
403.86,-194.31,180.0,top,C49,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
305.435,-221.615,90.0,bottom,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
404.495,-214.63,0.0,bottom,C50,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
404.495,-212.09,180.0,bottom,C51,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1u,smt
417.195,-194.31,180.0,top,C52,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
418.465,-193.04,0.0,bottom,C53,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
418.465,-195.58,180.0,bottom,C54,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1u,smt
417.83,-214.63,0.0,bottom,C55,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
417.83,-212.09,180.0,bottom,C56,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1u,smt
430.53,-194.31,180.0,top,C57,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56p,smt
431.8,-193.04,0.0,bottom,C58,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
431.8,-195.58,180.0,bottom,C59,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1u,smt
304.165,-218.44,0.0,bottom,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt
431.165,-214.63,0.0,bottom,C60,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2u,smt
431.165,-212.09,180.0,bottom,C61,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1u,smt
443.865,-217.805,180.0,top,C62,,,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,1u,smt
